"site","year","mean_tasmin_April","mean_tasmin_May","mean_tasmin_June","mean_tasmax_April","mean_tasmax_May","mean_tasmax_June","tasmean_April","tasmean_May","tasmean_June"
"BELTWOOD","2011",6.46391984969725,7.96414898722694,9.28079307595499,15.6780085787308,15.089217150317,17.1323100580308,11.070964214214,11.5266830687719,13.2065515669929
"BELTWOOD","2012",3.11354789203653,6.27485001520991,9.42415366819783,10.5588990883423,15.2763814220893,16.1258459179519,6.83622349018943,10.7756157186496,12.7749997930749
"BLACKPOOL","2013",3.21722063298178,5.36793894101096,9.33612110199966,10.3429294792427,14.0881227863476,17.3249546106104,6.78007505611226,9.72803086367929,13.330537856305
"BLACKWOOD","2011",6.46391984969725,7.96414898722694,9.28079307595499,15.6780085787308,15.089217150317,17.1323100580308,11.070964214214,11.5266830687719,13.2065515669929
"BLACKWOOD","2012",3.11354789203653,6.27485001520991,9.42415366819783,10.5588990883423,15.2763814220893,16.1258459179519,6.83622349018943,10.7756157186496,12.7749997930749
"BRIDFORD","2012",2.78252427943852,7.53945832871994,10.4956851752587,11.1505301383175,16.1213302196703,16.9900218809089,6.96652720887799,11.8303942741951,13.7428535280838
"BRIDFORD","2013",2.84214858940731,5.83485411348423,9.66241393922786,11.0471113452418,14.2193068094796,17.9494805189018,6.94462996732456,10.0270804614819,13.8059472290648
"BVW","2014",5.80318299948484,8.28556119826869,10.5713448668155,13.4287939353876,15.4415586527478,19.6673840355757,9.61598846743622,11.8635599255082,15.1193644511956
"DUNSFORD","2012",2.75916321562959,7.05314515493529,9.94739087419764,10.2344581225043,15.4560034141542,16.177642505619,6.49681066906693,11.2545742845447,13.0625166899083
"DUNSFORD","2013",2.73896706847238,5.23903040405167,9.18942004065134,10.1500646811609,13.3903128540242,17.0938189186754,6.44451587481665,9.31467162903793,13.1416194796634
"FAITHWAITE","2010",3.86949675278561,5.61245814071481,9.97926474685155,12.769317763118,14.4202590804181,19.1571970395023,8.31940725795181,10.0163586105665,14.5682308931769
"FAITHWAITE","2011",6.46391984969725,7.96414898722694,9.28079307595499,15.6780085787308,15.089217150317,17.1323100580308,11.070964214214,11.5266830687719,13.2065515669929
"FAITHWAITE","2012",3.11354789203653,6.27485001520991,9.42415366819783,10.5588990883423,15.2763814220893,16.1258459179519,6.83622349018943,10.7756157186496,12.7749997930749
"FAITHWAITE","2013",2.77091316511362,5.95961481604775,9.04794150201226,10.6064215095968,13.7854524310874,17.5403850812919,6.6886673373552,9.87253362356757,13.2941632916521
"FAITHWAITE","2014",6.34524187750896,8.28158741588702,10.4818186668894,13.6596659365353,15.2902529766364,18.7562754963923,10.0024539070221,11.7859201962617,14.6190470816409
"FAITHWAITE","2015",3.47823677168402,6.47386158277059,9.04740650445639,12.6593171866656,13.1119986465959,17.375556275197,8.06877697917479,9.79293011468324,13.2114813898267
"FAITHWAITE","2016",3.04863632668374,7.53266904564659,11.2862772640152,10.8169184917249,16.651772790303,18.6936324011702,6.9327774092043,12.0922209179748,14.9899548325927
"FAITHWAITE","2017",4.68934174110448,7.98034757087967,11.424903588093,12.0842728217786,17.3451596471066,18.1757386351069,8.38680728144156,12.6627536089931,14.8003211115999
"FAITHWAITE","2018",5.43717919142083,7.61740425483821,10.5666248642838,12.3919571088656,17.8604243587239,20.5447343911931,8.91456815014321,12.738914306781,15.5556796277385
"FAITHWAITE","2019",4.44528127342718,6.33683929244031,9.93408145709853,14.0108044636656,14.7347091691718,17.4999663518135,9.22804286854639,10.535774230806,13.717023904456
"FAITHWAITE","2020",4.8415184805243,6.45685266037908,11.0041323772476,14.6904520041129,16.6301552240067,18.6774143211099,9.76598524231861,11.5435039421929,14.8407733491788
"FAITHWAITE","2021",0.921202783430355,5.38721746415145,10.3460003945818,11.4674793456183,13.834507540766,19.2359733108489,6.19434106452431,9.61086250245871,14.7909868527153
"FAITHWAITE","2022",4.16401241637851,8.77911916670268,10.1022054496452,13.0506708049326,15.7400745042508,18.2692257637423,8.60734161065556,12.2595968354767,14.1857156066937
"FAITHWAITE","2023",4.55550674822443,7.73069287645473,11.4034945057475,12.4904748058238,17.1491219449786,21.8798282311545,8.52299077702413,12.4399074107167,16.641661368451
"MIDDLEWOOD","2014",6.09334645890587,7.99052503708457,10.2311563280045,13.5666875331682,15.1968852770594,18.6369517070865,9.83001699603705,11.593705157072,14.4340540175455
"MIDDLEWOOD","2015",3.26303292408256,6.18853078864878,8.72615023120426,12.6686580181768,13.0458704809964,17.260074097176,7.96584547112969,9.61720063482259,12.9931121641901
"MIDDLEWOOD","2016",2.78325556703405,7.18931589832677,10.9772556458329,10.7028352853806,16.4802744747625,18.5164010286247,6.74304542620732,11.8347951865446,14.7468283372288
"MIDDLEWOOD","2017",4.43229620205307,7.69452130068652,11.1946428209386,12.0442985346459,17.1801272461984,18.0348041935433,8.2382973683495,12.4373242734425,14.614723507241
"MIDDLEWOOD","2018",5.21614206778961,7.31502408338481,10.274541618341,12.2450894751938,17.8063846438472,20.3835912296298,8.7306157714917,12.560704363616,15.3290664239854
"MIDDLEWOOD","2019",4.09324864548187,6.00729541372206,9.64717254951467,13.8143161659696,14.6404890476582,17.2865068614087,8.95378240572576,10.3238922306901,13.4668397054617
"MIDDLEWOOD","2022",3.93408180327517,8.46551749630803,9.82329506268281,12.9027519208778,15.6318598839802,18.1703474023876,8.41841686207651,12.0486886901441,13.9968212325352
"MIDDLEWOOD","2023",4.31538669413362,7.40915813072243,11.0762716900916,12.3358136666594,17.090109978936,21.6535079750178,8.32560018039652,12.2496340548292,16.3648898325547
"NAGSHEAD","2014",5.52854027896788,7.92261339148075,10.5300462101019,14.2466791955661,16.5883843075257,20.5786290165689,9.88760973726699,12.2554988495032,15.5543376133354
"NAGSHEAD","2015",4.09969500586716,6.75735928000777,9.26533064534636,15.0535700997897,15.3614403230943,19.4629217393595,9.57663255282844,11.059399801551,14.3641261923529
"NAGSHEAD","2016",3.08089717415296,7.64611238661956,11.4401359283099,12.1242187375814,17.6618318503916,19.5101433196589,7.60255795586716,12.6539721185056,15.4751396239844
"NAGSHEAD","2017",3.86977000441382,8.52263092820396,11.6261677421692,14.0635518663534,18.0958430844566,20.62267515441,8.96666093538359,13.3092370063303,16.1244214482896
"NAGSHEAD","2018",6.25812623650622,7.49319586073363,11.0236059073842,13.2380291112021,18.6378808615734,21.9739229802471,9.74807767385418,13.0655383611535,16.4987644438156
"NAGSHEAD","2019",4.32561364989129,5.90092919553229,10.0492564471757,14.0021638999055,16.7294535398016,18.6130797691434,9.16388877489839,11.315191367667,14.3311681081595
"NAGSHEAD","2021",0.90810494990224,5.75184625847571,10.8795296812832,12.2044042598478,14.6691495117079,20.3266062204765,6.55625460487503,10.2104978850918,15.6030679508799
"NAGSHEAD","2022",3.85530647457844,8.44335333664395,9.62142314002913,14.2504353220991,17.4571201792943,19.9949656928539,9.05287089833876,12.9502367579691,14.8081944164415
"NAGSHEAD","2023",4.06070862858924,7.29002860109592,11.6150196443074,12.7869722408147,18.1259644797234,22.9188938578534,8.42384043470198,12.7079965404097,17.2669567510804
"NEADON","2013",3.4454162979038,5.66278255287795,9.4533730783729,10.5224854898727,14.0393893904183,17.5664268930201,6.98395089388827,9.85108597164812,13.5098999856965
"NEADON","2014",5.80318299948484,8.28556119826869,10.5713448668155,13.4287939353876,15.4415586527478,19.6673840355757,9.61598846743622,11.8635599255082,15.1193644511956
"NEADON","2015",4.9946270774337,7.32644064120769,9.27570382443887,14.175678082379,14.6052567780306,18.4452447392342,9.58515257990634,10.9658487096191,13.8604742818365
"NEADON","2016",3.53265416395977,7.7178558329938,11.257935879638,11.3548623864018,16.4923695102374,18.3546586272264,7.44375827518079,12.1051126716156,14.8062972534322
"NEADON","2017",4.2745013972661,8.54268123602944,10.9502213306243,13.3280533069446,16.3190240996486,19.2535270510862,8.80127735210534,12.430852667839,15.1018741908553
"NEADON","2018",6.28330363630481,7.88792200004964,11.4152479579174,12.9755053639895,17.4725268779268,21.4929268921664,9.62940450014715,12.6802244389882,16.4540874250419
"NEADON","2019",5.2277675055608,6.35906687897162,10.1839625999962,13.0510095344388,15.4664809383246,17.7169357311943,9.13938851999978,10.9127739086481,13.9504491655952
"NEADON","2020",5.56164347428184,7.12244055097792,10.1522603610491,15.2412226614821,17.6664474984577,18.3159118087364,10.401433067882,12.3944440247178,14.2340860848928
"NEADON","2021",2.04419822784899,6.1117244479942,10.44984309366,11.611427452354,13.2662184275567,19.3993527849264,6.82781284010151,9.68897143777544,14.9245979392932
"NEADON","2022",4.70260385176999,8.31351454682381,9.68767894557571,13.2294338014017,16.3742733924358,19.14584986575,8.96601882658585,12.3438939696298,14.4167644056629
"NEADON","2023",5.18599417963218,8.26731981997732,11.7314396217651,12.4657554882075,17.555641879381,22.2225101087884,8.82587483391982,12.9114808496792,16.9769748652768
"NEADON","2012",3.33617449189887,7.52077877830774,10.1395442930042,10.7143527650269,15.9325258983733,16.60110857024,7.02526362846288,11.7266523383405,13.3703264316221
"SLINDON","2018",6.23587794748106,7.50893470523684,10.6340955381054,13.6408452263513,19.1573570941832,21.873762798022,9.93836158691617,13.33314589971,16.2539291680637
"SLINDON","2019",3.72522381654957,5.66397734392328,10.0860339122931,14.4107051241821,16.6724489041815,19.138601080978,9.06796447036583,11.1682131240524,14.6123174966355
"SLINDON","2020",4.27034264931219,6.40959399555704,10.5609988427977,16.4334147325176,18.520886428275,20.0483511172546,10.3518786909149,12.465240211916,15.3046749800261
"SLINDON","2021",0.136929871641904,5.49891626982181,10.8683241918577,11.6391368598771,14.6231596026289,20.0135669296073,5.88803336575951,10.0610379362254,15.4409455607325
"SLINDON","2022",3.38325742972192,7.63079116557762,9.50869441186075,14.3824098046538,17.5860756891488,20.3853276488791,8.88283361718786,12.6084334273632,14.9470110303699
"SLINDON","2023",3.98805455387034,7.00549295185887,11.3124327346377,13.1549976659143,17.8175481367416,23.4407962177912,8.57152610989234,12.4115205443003,17.3766144762144
"SPW","2008",3.5869456167967,8.35358259435805,9.90203193497267,12.8294824211503,18.5979230907473,19.4661640707321,8.2082140189735,13.4757528425527,14.6840980028524
"SPW","2009",5.09900263477011,7.37063981645159,9.78321396085579,15.2873818511642,17.747472204058,20.594206471335,10.1931922429671,12.5590560102548,15.1887102160954
"SPW","2010",3.48692329721387,5.46138200636658,9.80413208072827,14.6168054887468,15.9697661042056,21.5537526035826,9.05186439298032,10.7155740552861,15.6789423421554
"SPW","2011",6.1037842878076,7.31068461238752,9.43361624261893,18.3346309653514,18.1887492716309,19.8522179383876,12.2192076265795,12.7497169420092,14.6429170905033
"SPW","2012",3.19154322134304,7.7871291560434,10.0044226890459,12.0048671633412,16.8208194044223,18.3003053410861,7.5982051923421,12.3039742802328,14.152364015066
"SPW","2013",3.00668230559248,5.82476422462146,9.27082114826788,12.6796877009197,15.4220811277113,18.7405350785775,7.84318500325611,10.6234226761664,14.0056781134227
"SPW","2014",5.83942174825585,8.09244754537787,10.4288981481145,15.453405896124,17.1065000601286,20.7299336646885,10.6464138221899,12.5994738027532,15.5794159064015
"SPW","2015",3.97816489047368,6.86891571695021,9.25789071162504,14.8852572784369,16.248064318013,20.3964756282463,9.43171108445527,11.5584900174816,14.8271831699357
"SPW","2016",3.36196772459968,7.75984166642994,11.094586628689,12.437418205981,17.8090074257554,19.6061683902505,7.89969296529032,12.7844245460927,15.3503775094698
"SPW","2017",4.11985856794954,8.67476437706484,12.1301690600697,14.3433210949177,18.4097433210573,22.1944288445037,9.23158983143362,13.5422538490611,17.1622989522867
"SPW","2018",6.66194887517554,7.798620645339,10.8688054904753,14.3881028705203,19.3540521293578,22.2661563529816,10.5250258728479,13.5763363873484,16.5674809217284
"SPW","2019",3.65645768812722,6.38026015529537,10.4654079745494,14.5252599713201,16.9969744900588,20.0014522934533,9.09085882972364,11.6886173226771,15.2334301340013
"SPW","2020",4.756281360424,6.83822723061416,10.792575951021,16.8721649286644,19.4784618966357,21.0726925084468,10.8142231445442,13.158344563625,15.9326342297339
"SPW","2021",1.03423946159849,5.84463549474525,11.7550156126398,11.7431979386277,15.2540039006001,20.8565615375106,6.38871870011307,10.5493196976727,16.3057885750752
"SPW","2022",4.05551717282588,8.29296163272537,9.98791896336582,14.6030545458536,18.5962636758173,21.4747523002402,9.32928585933976,13.4446126542714,15.731335631803
"SPW","2023",4.15842587672315,7.44608372593104,11.2837064984146,13.4652133219486,17.116675399161,23.7031003158774,8.81181959933587,12.281379562546,17.493403407146
"TRESWELL","2011",5.70788358726581,7.01881328678226,8.6624786395513,17.496290738281,17.3546033796739,20.3588507864008,11.6020871627734,12.1867083332281,14.5106647129761
"TRESWELL","2012",2.67155443027513,6.48000382914132,9.29806762083682,11.623586034033,16.2238459367972,18.0668555429614,7.14757023215409,11.3519248829693,13.6824615818991
"TRESWELL","2013",2.44636740296528,5.73525137974654,8.94473077064489,12.8758586774104,15.8231797353354,19.1236983333928,7.66111304018783,10.779215557541,14.0342145520189
"TRESWELL","2014",5.39489024598162,7.72770911025659,10.1879975720145,14.7312551465421,16.7395834163159,20.2853622657939,10.0630726962618,12.2336462632863,15.2366799189042
"TRESWELL","2015",3.35826579363759,6.3198533301316,8.35492463631154,14.6658448225261,15.5168877679752,19.9715961007228,9.01205530808185,10.9183705490534,14.1632603685172
"TRESWELL","2016",2.28397387187339,6.78771906871816,10.1974669943087,12.2107915449346,16.8506660941111,19.4812285556295,7.24738270840398,11.8191925814146,14.8393477749691
"TRESWELL","2018",5.39579939019404,7.43140829288338,10.2830902823671,13.7543763066145,18.9299831879181,21.9060420911649,9.57508784840428,13.1806957404007,16.094566186766
"TRESWELL","2019",2.98046866168866,6.05731876215859,9.46547800350163,14.361295742179,16.4328939736254,19.3894210541938,8.67088220193382,11.245106367892,14.4274495288477
"TRESWELL","2021",0.435926312678987,5.1450406918748,10.550743209183,12.1219860077259,15.0051346821296,21.0064077574461,6.27895616020245,10.0750876870022,15.7785754833145
"TRESWELL","2023",3.85909795465077,7.55926733834145,10.6227168766782,13.2177140692866,17.4794235059128,22.8168296130803,8.53840601196869,12.5193454221271,16.7197732448793
"TROUGHBARROW","2011",6.24471528396748,7.94829367750901,9.17741967715137,15.6835244929601,15.1769740055869,17.2249560970337,10.9641198884638,11.562633841548,13.2011878870925
"TROUGHBARROW","2012",3.05053215181473,6.1741219239086,9.38515938061467,10.816084584964,15.4934585718392,16.2251573779485,6.93330836838936,10.8337902478739,12.8051583792816
"TROUGHBARROW","2014",6.19332223475916,8.11006600133047,10.3303747181345,13.8664841017666,15.4514364245828,18.9066841720409,10.0299031682629,11.7807512129566,14.6185294450877
"TROUGHBARROW","2015",3.356679383282,6.28569886141964,8.85528950341849,12.7466184857052,13.2422523490034,17.4276669387275,8.0516489344936,9.76397560521151,13.141478221073
"TROUGHBARROW","2016",2.84898615984913,7.19663091150028,11.1910354101266,10.9664014926749,16.9169024533755,18.9823162037844,6.90769382626201,12.0567666824379,15.0866758069555
"TROUGHBARROW","2017",4.31664382667056,7.70230454388986,11.3359355612792,12.3659673591395,17.5097066938653,18.2573979104366,8.34130559290502,12.6060056188776,14.7966667358579
"TROUGHBARROW","2018",5.17129969473319,7.32624457583926,10.3731563336193,12.5453764788411,18.1052810462637,20.8440327467732,8.85833808678712,12.7157628110515,15.6085945401963
