"site","year","April_01","April_02","April_03","April_04","April_05","April_06","April_07","April_08","April_09","April_10","April_11","April_12","April_13","April_14","April_15","April_16","April_17","April_18","April_19","April_20","April_21","April_22","April_23","April_24","April_25","April_26","April_27","April_28","April_29","April_30","May_01","May_02","May_03","May_04","May_05","May_06","May_07","May_08","May_09","May_10","May_11","May_12","May_13","May_14","May_15","May_16","May_17","May_18","May_19","May_20","May_21","May_22","May_23","May_24","May_25","May_26","May_27","May_28","May_29","May_30","May_31","June_01","June_02","June_03","June_04","June_05","June_06","June_07","June_08","June_09","June_10","June_11","June_12","June_13","June_14","June_15","June_16","June_17","June_18","June_19","June_20","June_21","June_22","June_23","June_24","June_25","June_26","June_27","June_28","June_29","June_30"
"BELTWOOD","2011",11.5716296784755,11.3505965921722,8.8771469018378,7.28169508307811,10.5380360124095,13.2936778737262,10.9112364057606,10.6296481344788,13.3966349704232,12.8559276430864,10.4140528663617,7.96482294775446,7.3780247216412,9.3059134411987,10.65257221992,10.2620438581726,8.86128302367993,12.0176115697384,12.462640723506,12.5890503956373,14.2350997055888,15.7973182009671,13.5609014036337,11.1356286737569,10.6770176033943,9.75240740974199,11.1420084776602,8.42760338934027,11.7687969393219,13.0178995599569,12.4568592600382,9.96831638410482,8.23577818325997,8.78469813575078,12.9431032829015,15.1950924250848,15.8556814372784,15.6633607903095,13.3288550651006,12.9395679106078,12.4400341829078,11.4703820573966,9.89952279247135,9.17460477323203,9.50320932760812,10.7493659829295,12.2556766163284,12.2427416812343,10.1987214423267,10.7594143002359,11.9574627496633,10.8658711139643,11.1980196599513,10.6758465726514,10.718591794293,11.4806710748318,10.8702475656194,11.4181249781649,12.6253458376415,11.449304714234,10.0027030398084,11.9002853482121,16.3897851215804,17.6274676412891,14.8005448804665,10.9160734014412,11.6063605456789,10.4509135317018,11.2386001367895,11.148918343504,9.1002518548394,9.35060301568938,10.1588854667794,13.0044638654735,12.9135507852876,14.5016214251009,13.1214330736422,12.8571033695016,13.0610687192242,13.2329257526818,13.8730460492399,15.1199347743963,13.859018290304,13.3016889009707,11.9011306357643,13.9570666707365,19.2475530879607,19.596809262114,13.4910326258048,12.292283651863,12.1761267817489
"BELTWOOD","2012",5.00502588363713,8.03639957263856,7.37128922868641,4.37963564237196,3.70722960849658,5.33196050485141,7.89972684500146,8.68078875653325,6.99286698363897,6.76341124836733,7.4046655329554,6.88143310636826,6.9094370618173,4.70725213353166,4.30256220640857,4.62246325846331,7.63952867190897,5.91529573213531,7.73916403277935,7.39917120765732,7.51547018059329,8.54281432270653,7.35209625903228,6.47835913883826,6.83571179956964,8.42286771674557,7.80073719133996,6.70499399551399,7.92154003297676,9.82280685011812,10.4541952441432,11.1210691766901,8.92989253210442,7.55551386818559,4.08755603922999,5.61236329728713,6.85542916481704,9.42328983780417,8.70512138718859,11.0061128495457,8.43365948430007,7.64602373011043,9.64356246520841,9.1457342891999,7.67484976835183,6.3905224831105,7.56944757801137,8.77714599150224,8.83904859394121,8.22673740837097,10.3535000585251,13.0455615266127,13.7308860970119,16.9337217582759,18.3429322897334,18.2664188521357,17.3780016758886,17.4608020203818,13.7530589486092,14.7227775592374,13.9591513026233,14.0409298026224,12.2022029490925,9.16585458409705,9.63041680529997,9.19886720253014,13.3556837385222,12.3592184187316,12.8775124848289,12.8676750445614,13.302580748059,12.146210579826,10.1168550390852,11.5881324816202,12.956490670089,12.5314113113157,12.6447531809234,12.3499796320944,11.7051365155443,12.9944397467495,12.3627891306914,12.9630500373937,11.6886375458943,12.6251289229381,12.9354598325009,13.619249741514,13.7195572712333,16.7556723024079,18.308994532278,15.4295928406974,14.807510699104
"BLACKPOOL","2013",1.75381022039826,2.45295351074333,2.34839772839144,1.34093727712383,2.95459548442669,4.11446373939939,2.10389956056227,3.8222735239176,4.9456368869313,4.6561675175854,7.75941108770882,7.81542566715902,7.84783506509625,9.16495657952117,10.6573151956984,11.3611390382361,10.4541936799521,9.12823261041291,8.21966468928131,6.57044115108637,5.72001846932536,8.54834915104594,11.4779730723567,10.4947107039453,10.4070742048639,7.98139839501254,6.26739963497731,6.83207833194337,8.27147795638562,7.93002154987984,7.92687163003956,10.4307576831693,8.58803988490324,10.5909544553062,11.9209965909974,10.4867398965727,11.2777682952117,11.7122525122889,8.99715253991288,10.3491090981948,8.93675436718792,7.76690509561929,10.2996502500863,7.14078910499043,6.55378755152462,7.05872768292587,7.40344469341974,10.1233093158029,10.1775878365036,11.2098323806024,12.6835196369153,11.3988871056586,8.05829013012755,7.72815949810111,8.76536386271398,9.29295326346783,8.56488331991505,8.86484306812366,10.744335187618,12.7637096723846,13.7525811637723,12.0812838430043,12.5907770614121,12.8516957371873,11.3540126565612,12.4347102577647,14.4137685023378,15.403151885819,15.3689546897755,12.069553017946,8.97174440850926,12.6719278270832,13.443785568426,13.0841544579412,12.4225658827695,12.2796451007201,11.4612476299373,14.5120547969342,15.2537452449411,16.5509390763244,15.3913134408068,12.8125269400902,11.8124942377345,12.0264930214466,13.4162146009129,11.260823471453,12.8384353120346,15.0921877685555,14.5006003529789,16.3942847726889,15.1510441250554
"BLACKWOOD","2011",11.5716296784755,11.3505965921722,8.8771469018378,7.28169508307811,10.5380360124095,13.2936778737262,10.9112364057606,10.6296481344788,13.3966349704232,12.8559276430864,10.4140528663617,7.96482294775446,7.3780247216412,9.3059134411987,10.65257221992,10.2620438581726,8.86128302367993,12.0176115697384,12.462640723506,12.5890503956373,14.2350997055888,15.7973182009671,13.5609014036337,11.1356286737569,10.6770176033943,9.75240740974199,11.1420084776602,8.42760338934027,11.7687969393219,13.0178995599569,12.4568592600382,9.96831638410482,8.23577818325997,8.78469813575078,12.9431032829015,15.1950924250848,15.8556814372784,15.6633607903095,13.3288550651006,12.9395679106078,12.4400341829078,11.4703820573966,9.89952279247135,9.17460477323203,9.50320932760812,10.7493659829295,12.2556766163284,12.2427416812343,10.1987214423267,10.7594143002359,11.9574627496633,10.8658711139643,11.1980196599513,10.6758465726514,10.718591794293,11.4806710748318,10.8702475656194,11.4181249781649,12.6253458376415,11.449304714234,10.0027030398084,11.9002853482121,16.3897851215804,17.6274676412891,14.8005448804665,10.9160734014412,11.6063605456789,10.4509135317018,11.2386001367895,11.148918343504,9.1002518548394,9.35060301568938,10.1588854667794,13.0044638654735,12.9135507852876,14.5016214251009,13.1214330736422,12.8571033695016,13.0610687192242,13.2329257526818,13.8730460492399,15.1199347743963,13.859018290304,13.3016889009707,11.9011306357643,13.9570666707365,19.2475530879607,19.596809262114,13.4910326258048,12.292283651863,12.1761267817489
"BLACKWOOD","2012",5.00502588363713,8.03639957263856,7.37128922868641,4.37963564237196,3.70722960849658,5.33196050485141,7.89972684500146,8.68078875653325,6.99286698363897,6.76341124836733,7.4046655329554,6.88143310636826,6.9094370618173,4.70725213353166,4.30256220640857,4.62246325846331,7.63952867190897,5.91529573213531,7.73916403277935,7.39917120765732,7.51547018059329,8.54281432270653,7.35209625903228,6.47835913883826,6.83571179956964,8.42286771674557,7.80073719133996,6.70499399551399,7.92154003297676,9.82280685011812,10.4541952441432,11.1210691766901,8.92989253210442,7.55551386818559,4.08755603922999,5.61236329728713,6.85542916481704,9.42328983780417,8.70512138718859,11.0061128495457,8.43365948430007,7.64602373011043,9.64356246520841,9.1457342891999,7.67484976835183,6.3905224831105,7.56944757801137,8.77714599150224,8.83904859394121,8.22673740837097,10.3535000585251,13.0455615266127,13.7308860970119,16.9337217582759,18.3429322897334,18.2664188521357,17.3780016758886,17.4608020203818,13.7530589486092,14.7227775592374,13.9591513026233,14.0409298026224,12.2022029490925,9.16585458409705,9.63041680529997,9.19886720253014,13.3556837385222,12.3592184187316,12.8775124848289,12.8676750445614,13.302580748059,12.146210579826,10.1168550390852,11.5881324816202,12.956490670089,12.5314113113157,12.6447531809234,12.3499796320944,11.7051365155443,12.9944397467495,12.3627891306914,12.9630500373937,11.6886375458943,12.6251289229381,12.9354598325009,13.619249741514,13.7195572712333,16.7556723024079,18.308994532278,15.4295928406974,14.807510699104
"BRIDFORD","2012",5.43645301916139,6.22418922796369,6.63039174084604,4.48767273037308,5.18869304574433,4.87884744604631,8.28831851250813,9.72984378227549,9.15258400960339,6.84384667835831,7.20514686716935,7.20603873057439,6.04807432696684,5.89848902064023,5.67647301873223,4.99459872004379,8.10278413094778,6.69348340433508,7.67725415560557,7.59776659765908,6.24522233428266,6.82397469651801,6.08617333170858,7.96041081271986,8.09971020120181,8.8541896055811,9.40192098066738,7.17936219939382,5.97001738966152,8.41388554905051,11.3364800304075,10.7058507366241,8.78467997505141,9.48649741688596,6.93037385491762,8.19801269371474,10.2029171003511,12.5272949114573,10.8017886721932,12.2609217235231,10.7102482774808,8.46357781875246,9.41862598848047,8.74772703368791,8.4086524405405,7.80580144553817,8.97103018727745,9.53389601618496,10.7101649419696,11.8094740544097,11.7818971546145,13.1885868180349,15.1104801595415,16.7693602290702,20.2134273369432,18.5717252789417,15.4698035152666,14.2727058026874,15.1894066243053,14.7571270395583,15.6036872216371,16.7574247000818,15.4276088811102,14.3446099073588,11.5659958252728,12.0413871671294,14.0138869668315,13.3126433699502,12.6564707236065,12.6287678651477,11.8928383655987,12.6706710780548,13.3551085191111,12.6400924945658,11.7682816244062,13.0974516781653,13.2409574646306,13.5958298998957,12.6913850544121,12.7654843873816,11.9705221754427,12.7073810209892,13.3547615719111,13.5426700623866,14.5663926440891,14.1085263701186,15.7946261210831,16.837171195154,18.5693949868323,15.3843145558,14.9829491659963
"BRIDFORD","2013",1.81073927004325,2.83090619396176,2.22025844230912,1.25665308770197,3.66960942042219,3.19089983803332,2.31537467185296,4.51108591165542,5.33852036842041,5.03636797126726,8.57316287011143,8.29562777290059,7.82241071293737,10.3225474621741,11.1907490662266,11.7573503009771,10.5856956686327,9.61113864143829,9.34214059634788,6.87561211299809,5.31853057764415,7.99141544650874,10.6504188074873,10.820035599989,10.7094315117541,7.77796310877685,6.7173245292236,6.3278330971897,8.09596835186227,7.37312760888916,7.89217006123947,10.1837247050947,9.3356903433669,10.9760379319474,13.1166377828315,10.3089305997696,11.7835148369118,12.4813561944977,9.34951747680508,11.0628447279627,8.93956591974509,8.45644757848646,10.3026904493945,7.6316291348474,7.14729961100017,6.98448289028602,7.26147697821111,9.92382522448056,11.0900598033156,11.481071049317,12.4782693725061,11.5084094739506,8.30370893917933,8.42686332003801,9.01980524394446,9.55566259535786,8.37601491631521,8.85877924052771,11.0853988865946,13.7229462809219,13.7946627370924,12.2858848895166,12.12894309991,12.7972504547784,12.5276114922283,13.4364653253397,14.7152898999204,15.541486922767,15.5572185959199,12.8981805675666,10.4625747156275,13.7408945285947,14.168461656509,13.7812288104799,12.8637864073681,12.5377231621614,11.7078105191896,15.3228739667884,16.2319780965276,17.0043250050091,14.9941449670759,14.5422935410862,13.3686906928722,12.5758483085548,12.7712315316215,11.51463227324,13.3876179393817,14.5898156523166,15.141263104054,16.3494104579198,15.2334802876198
"BVW","2014",8.62109025846058,10.9172788364013,9.98521198639181,10.9225108792726,10.9002497851416,11.7360832263377,11.5169251922468,8.57265863821532,8.79454257678256,7.33999314677007,9.59401140562387,7.59768319928282,8.49961330671603,9.48271008632456,9.32732142982593,9.48953814857434,8.30350961052312,9.92294988104202,6.29641395992377,6.78893217530221,9.81009586747948,10.5276625790047,11.7206858301851,9.41008826359152,10.0783797004225,9.47907856563343,9.91034734007167,11.3756339921362,11.5264541817666,10.0319999736365,11.7019385942364,10.6781522408563,9.78580349389857,8.59562183918588,10.2267582942048,11.2125100586921,10.9549202061949,12.0165439131926,12.0701703490202,11.3598315819898,9.91748399323998,10.1753571224031,11.6850137292782,11.4559975289728,12.8255778317767,13.1218747488881,14.4515057288855,14.2638435827339,13.9430903308141,13.224837056533,10.8008627215402,11.6649642558068,11.8105200158101,10.6921920950717,11.9259798596414,11.4006006610883,13.0066125021514,12.3678632846736,13.0396984155735,13.607594356219,13.7866372981826,13.3090581145482,14.4182341717846,13.2551210006081,11.401332597756,11.9432880127831,14.2512447288919,15.0652651183079,14.8480404052238,16.0262718538135,13.6772470132225,14.6994765111253,14.9052307568554,17.0410492361273,17.3549646965651,17.2769944747052,16.4930062475583,15.2687124343009,17.2075925197295,17.9211737073999,16.0091460882172,14.8483007609141,16.9354174687422,16.5402827105219,17.2317902512798,15.4875872706965,13.787367452631,14.6411894470703,14.098923082607,14.1319763246599,13.5056490772206
"DUNSFORD","2012",5.26206220517417,5.81252941072696,6.29183898151386,3.9109921727429,4.72420001864401,4.557588726581,7.85080564436658,9.07945907588049,8.54976774932388,6.37760007042195,6.8575048782129,6.8624848102369,5.75714250047301,5.35815863209096,5.12499702784876,4.75456426585994,7.39715022074573,6.099475242664,7.06337562348751,7.08039333888372,5.89788810025,6.41453216797698,5.70756236890199,7.5428786238932,7.51920467066006,8.24242750031374,8.85431810037029,6.71159956774881,5.44865298601171,7.79316539000189,10.6411362337653,10.4678852472868,8.23204311657693,8.85397259431815,6.18761990957996,7.39029032125347,9.65153999559714,11.7632495697995,10.1394161857431,11.6497027181042,9.75801329653863,7.77743236606932,8.75633628014428,8.12481480914799,7.6354058226204,7.37319048612637,8.38936049340613,8.76754311579542,10.0302838217916,11.3236648463448,11.0280465087029,12.679198961879,14.8317015418423,16.4400068704339,19.9925231200418,18.0439552774109,14.8254180032386,13.9338945419297,14.8746793973856,14.3742907704275,14.9551865975854,16.0577581195359,14.7282486062235,13.4123709011317,10.8979729613546,11.5937455050926,13.3373351003281,12.7192215267552,11.8699139906492,11.9114139528506,11.3306883476301,11.9788664445326,12.6162109937643,11.9426161587473,11.0108357772138,12.2404725156365,12.4321380709376,12.8771423781037,12.0829113976529,12.2928854340659,11.4616576060191,11.9162955005796,12.5067347868583,12.876055834249,13.7180541783703,13.5949712821876,15.3941549380438,16.5772750666711,17.9739654719001,14.5590983219415,13.9644895282226
"DUNSFORD","2013",1.22983899229553,2.28915770829909,1.85342941328966,0.766681129714592,3.15911266086907,3.01587139356313,2.05448293390689,3.99691911340766,4.83722049679759,4.65923417645958,8.06602996180378,7.73252215220577,7.67523977123429,9.7275134754436,10.6253913022236,11.1866114970337,10.2103508198999,8.85603762507169,8.59547859742546,6.44610947800928,4.76852456700548,7.71429308735887,10.0895307107609,10.1392934360386,10.0299908928253,7.16808027776856,6.1972980957873,5.81133267467142,7.453136144141,6.98076365918823,7.18387451624528,9.64166709852776,8.50826664230534,10.2052220039744,12.2374311284954,10.0657304125683,11.6447191522605,11.869773862451,8.49017254694234,10.235542303375,8.11335585960847,7.7861237953337,9.40036761996893,6.87323378672822,6.30119124750245,6.46052872730609,6.65330806634984,9.22082173432935,10.3213778434818,10.8004697261612,11.3944134980304,10.6210929806307,7.47946321663983,7.53581922727612,8.31054914400463,9.01112675717715,7.84823488133994,8.15569194900804,10.4223354199206,12.8676365728715,13.0952787793617,11.3769478932904,11.4077013505548,12.2278482745011,12.0190594619055,12.9748331935933,14.271706515067,15.1207139579846,15.0826810407986,12.4170590789405,10.0689884846846,13.075342854801,13.5481398911059,12.8923240502465,12.2858224909616,11.6977002870723,10.9902581584201,14.7243363718545,15.7376418991973,16.2773575356077,14.3743543104716,13.6683141517099,12.503988905231,11.7391501048352,12.0094411399233,11.1664141125009,12.7962363988691,13.9127135090672,14.166283643257,15.4479361161505,14.2672892072977
