"year","site","mean_tasmin_April","mean_tasmin_May","mean_tasmin_June","mean_tasmax_April","mean_tasmax_May","mean_tasmax_June","tasmean_April","tasmean_May","tasmean_June","tasmean_AprMay"
"2008","BELTWOOD",3.94239755913625,8.39870777595453,9.37529995764134,11.138535498755,17.5782264638712,16.8825759745772,7.54046652894562,12.9884671199129,13.1289379661093,10.2644668244292
"2008","BLACKPOOL",3.73237848245045,8.83122017474944,9.45946712275292,11.8860748229376,16.6625820599245,18.3657432812318,7.80922665269403,12.7469011173369,13.9126052019924,10.2780638850155
"2008","BLACKWOOD",3.94239755913625,8.39870777595453,9.37529995764134,11.138535498755,17.5782264638712,16.8825759745772,7.54046652894562,12.9884671199129,13.1289379661093,10.2644668244292
"2008","BRIDFORD",3.45120431363935,9.2154123707746,9.80796290577742,12.3382256410373,17.0904693241064,18.6334748938952,7.8947149773383,13.1529408474405,14.2207188998363,10.5238279123894
"2008","BVW",3.92411749454195,8.91892102844087,9.4079527774215,11.8963000787105,16.4701576555043,18.197323712959,7.91020878662622,12.6945393419726,13.8026382451902,10.3023740642994
"2008","DUNSFORD",3.34895299735575,8.67906701712888,9.26491554809874,11.4855778982265,16.4689570338218,17.724162566709,7.41726544779112,12.5740120254754,13.4945390574039,9.99563873663324
"2008","FAITHWAITE",3.94239755913625,8.39870777595453,9.37529995764134,11.138535498755,17.5782264638712,16.8825759745772,7.54046652894562,12.9884671199129,13.1289379661093,10.2644668244292
"2008","MIDDLEWOOD",3.72148514746475,8.06769735227759,9.12413493803853,10.9993456313831,17.3732364488321,16.7832501407178,7.36041538942394,12.7204669005548,12.9536925393782,10.0404411449894
"2008","NAGSHEAD",3.61850160626442,8.77473107227377,9.72437165533466,12.4811438358352,17.939968295758,18.8263879169841,8.04982272104982,13.3573496840159,14.2753797861594,10.7035862025329
"2008","NEADON",3.92411749454195,8.91892102844087,9.4079527774215,11.8963000787105,16.4701576555043,18.197323712959,7.91020878662622,12.6945393419726,13.8026382451902,10.3023740642994
"2008","SLINDON",3.3343785909153,8.42254442916874,9.53807094862474,12.567730239521,19.0645312819871,19.3634364986712,7.95105441521817,13.7435378555779,14.450753723648,10.8472961353981
"2008","SPW",3.5869456167967,8.35358259435805,9.90203193497267,12.8294824211503,18.5979230907473,19.4661640707321,8.2082140189735,13.4757528425527,14.6840980028524,10.8419834307631
"2008","TRESWELL",2.9827028271396,7.29803045577503,9.31071465287341,12.4408159080743,18.13970139741,19.7628053616317,7.71175936760695,12.7188659265925,14.5367600072525,10.2153126470997
"2008","TROUGHBARROW",3.81922696114193,8.15948299577154,9.10391404443761,11.3887539477742,17.86695811662,17.11103888817,7.60399045445806,13.0132205561957,13.1074764663038,10.3086055053269
"2008","WHITEWOOD",3.73237848245045,8.83122017474944,9.45946712275292,11.8860748229376,16.6625820599245,18.3657432812318,7.80922665269403,12.7469011173369,13.9126052019924,10.2780638850155
"2008","YARNER",3.92411749454195,8.91892102844087,9.4079527774215,11.8963000787105,16.4701576555043,18.197323712959,7.91020878662622,12.6945393419726,13.8026382451902,10.3023740642994
"2009","BELTWOOD",4.90195898967404,7.21917485002436,9.84046903336752,13.9731402042565,15.2181809153476,18.9023035641751,9.43754959696525,11.218677882686,14.3713862987713,10.3281137398256
"2009","BLACKPOOL",4.9137850495795,7.21444217690186,9.77001758422028,13.4659778535255,15.3090764177769,19.2654210739914,9.18988145155251,11.2617592973394,14.5177193291058,10.225820374446
"2009","BLACKWOOD",4.90195898967404,7.21917485002436,9.84046903336752,13.9731402042565,15.2181809153476,18.9023035641751,9.43754959696525,11.218677882686,14.3713862987713,10.3281137398256
"2009","BRIDFORD",4.59864021754547,7.58290909537864,10.3074276490525,13.7971427984902,15.7549669278782,19.5940207612112,9.19789150801786,11.6689380116284,14.9507242051319,10.4334147598231
"2009","BVW",5.16990894320852,7.42191810275612,10.0434365216509,13.4575488188762,15.4032556283768,19.261750092368,9.31372888104238,11.4125868655665,14.6525933070095,10.3631578733044
