"site","year","day","tasmin","tasmax","tasmean"
"BELTWOOD","2011","April_01",9.27182534364967,13.8714340133013,11.5716296784755
"BELTWOOD","2011","April_02",10.1619795498936,12.5392136344507,11.3505965921722
"BELTWOOD","2011","April_03",5.88924701172563,11.86504679195,8.8771469018378
"BELTWOOD","2011","April_04",3.28655679651931,11.2768333696369,7.28169508307811
"BELTWOOD","2011","April_05",7.07617621475734,13.9998958100617,10.5380360124095
"BELTWOOD","2011","April_06",10.2364947744443,16.3508609730082,13.2936778737262
"BELTWOOD","2011","April_07",8.75036193192576,13.0721108795954,10.9112364057606
"BELTWOOD","2011","April_08",4.64172622041837,16.6175700485391,10.6296481344788
"BELTWOOD","2011","April_09",6.17895764238026,20.6143122984661,13.3966349704232
"BELTWOOD","2011","April_10",7.20683162665666,18.5050236595161,12.8559276430864
"BELTWOOD","2011","April_11",7.97990777392395,12.8481979587995,10.4140528663617
"BELTWOOD","2011","April_12",4.47274073854861,11.4569051569603,7.96482294775446
"BELTWOOD","2011","April_13",4.99549906306094,9.76055038022145,7.3780247216412
"BELTWOOD","2011","April_14",6.46513078550352,12.1466960968939,9.3059134411987
"BELTWOOD","2011","April_15",8.11452843488655,13.1906160049535,10.65257221992
"BELTWOOD","2011","April_16",6.27772033673389,14.2463673796112,10.2620438581726
"BELTWOOD","2011","April_17",2.04591262991466,15.6766534174452,8.86128302367993
"BELTWOOD","2011","April_18",5.74667743946024,18.2885457000165,12.0176115697384
"BELTWOOD","2011","April_19",5.95093644849343,18.9743449985185,12.462640723506
"BELTWOOD","2011","April_20",5.35704345882984,19.8210573324448,12.5890503956373
"BELTWOOD","2011","April_21",6.15917505790182,22.3110243532759,14.2350997055888
"BELTWOOD","2011","April_22",9.25207686583697,22.3425595360972,15.7973182009671
"BELTWOOD","2011","April_23",10.3790267564686,16.7427760507989,13.5609014036337
"BELTWOOD","2011","April_24",5.85582998394104,16.4154273635728,11.1356286737569
"BELTWOOD","2011","April_25",4.03169654432364,17.322338662465,10.6770176033943
"BELTWOOD","2011","April_26",6.27467747590834,13.2301373435756,9.75240740974199
"BELTWOOD","2011","April_27",6.30176313155609,15.9822538237642,11.1420084776602
"BELTWOOD","2011","April_28",0.77455740129467,16.0806493773859,8.42760338934027
"BELTWOOD","2011","April_29",6.46441133618153,17.0731825424623,11.7687969393219
"BELTWOOD","2011","April_30",8.31812671577829,17.7176724041356,13.0178995599569
"BELTWOOD","2011","May_01",6.76400833828912,18.1497101817874,12.4568592600382
