site,year,peak_cater_fit,peak_cater_lwr,peak_cater_upr,height_cater_fit,height_cater_lwr,height_cater_upr,box,species,cltsize,fledged,dfe,outcome,avg_cltsize,cltsize_final,mismatch_cater,height_cater_log,mean_tasmin_April,mean_tasmin_May,mean_tasmin_June,mean_tasmax_April,mean_tasmax_May,mean_tasmax_June,tasmean_April,tasmean_May,tasmean_June,tasmean_AprMay,mean_tasmin_AprMay,mean_tasmax_AprMay
BRIDFORD,2013,63.37032907,61.45538944,65.34811914,504.8426891,306.1372669,834.3593541,3,BLUTI,10,8,33,NE,10.4,10,3.629670934,6.224246874,2.842148589,5.834854113,9.662413939,11.04711135,14.21930681,17.94948052,6.944629967,10.02708046,13.80594723,8.485855214,4.338501351,12.63320908
BRIDFORD,2013,63.37032907,61.45538944,65.34811914,504.8426891,306.1372669,834.3593541,57,BLUTI,9,9,37,NE,10.4,9,6.629670934,6.224246874,2.842148589,5.834854113,9.662413939,11.04711135,14.21930681,17.94948052,6.944629967,10.02708046,13.80594723,8.485855214,4.338501351,12.63320908
BRIDFORD,2013,63.37032907,61.45538944,65.34811914,504.8426891,306.1372669,834.3593541,36,BLUTI,11,9,38,NE,10.4,11,9.629670934,6.224246874,2.842148589,5.834854113,9.662413939,11.04711135,14.21930681,17.94948052,6.944629967,10.02708046,13.80594723,8.485855214,4.338501351,12.63320908
BRIDFORD,2013,63.37032907,61.45538944,65.34811914,504.8426891,306.1372669,834.3593541,60,PIEFL,6,6,38,NE,6,6,4.629670934,6.224246874,2.842148589,5.834854113,9.662413939,11.04711135,14.21930681,17.94948052,6.944629967,10.02708046,13.80594723,8.485855214,4.338501351,12.63320908
BRIDFORD,2013,63.37032907,61.45538944,65.34811914,504.8426891,306.1372669,834.3593541,49,GRETI,5,5,39,NE,7,5,4.629670934,6.224246874,2.842148589,5.834854113,9.662413939,11.04711135,14.21930681,17.94948052,6.944629967,10.02708046,13.80594723,8.485855214,4.338501351,12.63320908
BVW,2014,52.19996537,48.1014737,56.90020572,8265.466979,2691.384442,24928.39609,1,PIEFL,7,5,30,NE,7.090909091,7,8.800034635,9.019841509,5.803182999,8.285561198,10.57134487,13.42879394,15.44155865,19.66738404,9.615988467,11.86355993,15.11936445,10.7397742,7.044372099,14.43517629
BVW,2014,52.19996537,48.1014737,56.90020572,8265.466979,2691.384442,24928.39609,3,GRETI,9,8,23,NE,7.222222222,9,3.800034635,9.019841509,5.803182999,8.285561198,10.57134487,13.42879394,15.44155865,19.66738404,9.615988467,11.86355993,15.11936445,10.7397742,7.044372099,14.43517629
BVW,2014,52.19996537,48.1014737,56.90020572,8265.466979,2691.384442,24928.39609,4,PIEFL,7,6,42,NE,7.090909091,7,20.80003463,9.019841509,5.803182999,8.285561198,10.57134487,13.42879394,15.44155865,19.66738404,9.615988467,11.86355993,15.11936445,10.7397742,7.044372099,14.43517629
BVW,2014,52.19996537,48.1014737,56.90020572,8265.466979,2691.384442,24928.39609,5,BLUTI,10,10,23,NE,10.125,10,4.800034635,9.019841509,5.803182999,8.285561198,10.57134487,13.42879394,15.44155865,19.66738404,9.615988467,11.86355993,15.11936445,10.7397742,7.044372099,14.43517629
BVW,2014,52.19996537,48.1014737,56.90020572,8265.466979,2691.384442,24928.39609,6,BLUTI,11,8,17,NE,10.125,11,-0.199965365,9.019841509,5.803182999,8.285561198,10.57134487,13.42879394,15.44155865,19.66738404,9.615988467,11.86355993,15.11936445,10.7397742,7.044372099,14.43517629
BVW,2014,52.19996537,48.1014737,56.90020572,8265.466979,2691.384442,24928.39609,7,BLUTI,10,9,22,NE,10.125,10,3.800034635,9.019841509,5.803182999,8.285561198,10.57134487,13.42879394,15.44155865,19.66738404,9.615988467,11.86355993,15.11936445,10.7397742,7.044372099,14.43517629
