BroodID,Year,Box,Popn,Species,CltCd,CltSize,Hatch,Fledged,DAR,N1,DFE,DH,MinEggs,UnHatch,AverageMass,Outcome,MaleID,MaleDate,MaleRingDate,MaleStatus,MaleMinAge,FemaleID,FemaleDate,FemaleRingDate,FemaleStatus,FemaleMinAge,YoungDate,Young1,Young2,Young3,Young4,Young5,Young6,Young7,Young8,Young9,Young10,Young11,Weight.Y1,Tarsus.Y1,Weight.Y2,Tarsus.Y2,Weight.Y3,Tarsus.Y3,Weight.Y4,Tarsus.Y4,Weight.Y5,Tarsus.Y5,Weight.Y6,Tarsus.Y6,Weight.Y7,Tarsus.Y7,Weight.Y8,Tarsus.Y8,Weight.Y9,Tarsus.Y9,Weight.Y10,Tarsus.Y10,Weight.Y11,Tarsus.Y11
32,1957,42,YAR,PIEFL,1,7,,2,,,,,,,,NE,C25411,,20/06/1956,R,1,A51799,01/06/1957,28/05/1956,S,2,19/06/1957,C25423,C25424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1957,44,YAR,PIEFL,1,7,,3,,,55,,,,,NE,C25411,,20/06/1956,R,1,B80960,01/06/1957,25/05/1955,S,3,19/06/1957,C25420,C25421,C25422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1957,46,YAR,REDST,1,7,,0,,,47,,,,,XU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1958,1,YAR,REDST,1,,0,0,,,36,,5,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1958,3,YAR,PIEFL,1,7,7,7,,,,,,,,NE,C25411,,20/06/1956,S,2,C25427,16/05/1958,16/05/1958,I,1,09/06/1958,F22902,F22903,F22904,F22905,F22906,F22907,F22908,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1958,5,YAR,BLUTI,1,12,9,9,,,28,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1958,13,YAR,MARTI,1,10,10,6,,,28,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1958,15,YAR,REDST,1,6,6,6,,,38,,,,,NE,,,,,,,,,,,04/06/1958,C25431,C25432,C25433,C25434,C25435,C25436,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1958,19,YAR,BLUTI,1,12,10,10,,,31,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1958,21,YAR,REDST,1,,0,0,,,48,,7,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1958,22,YAR,REDST,2,,,5,,,,,,,,NE,,,,,,,,,,,01/07/1958,F22928,F22929,F22930,F22931,F22932,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1958,23,YAR,BLUTI,1,12,,3,,,31,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1958,25,YAR,REDST,2,6,4,4,,,43,,,,,NE,,,,,,,,,,,09/06/1958,F22909,F22910,F22911,F22912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1958,26,YAR,GRETI,1,8,,,,,,,,,,OU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1958,29,YAR,PIEFL,1,7,7,7,,,44,,,,,NE,C25437,04/06/1958,04/06/1958,I,1,B80960,04/06/1958,25/05/1955,S,4,12/06/1958,F22920,F22921,F22922,F22923,F22924,F22925,F22927,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1958,34,YAR,PIEFL,1,7,7,7,,,41,,,,,NE,C25411,20/05/1958,20/06/1956,S,2,C56907,20/05/1958,22/05/1957,S,2,09/06/1958,C25438,C25439,C25440,C25441,C25442,C25443,C25444,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1958,41,YAR,BLUTI,1,10,10,10,,,31,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1958,48,YAR,PIEFL,1,7,7,7,,,41,,,,,NE,A51819,24/05/1958,01/06/1955,S,4,C25429,16/05/1958,16/05/1958,I,1,09/06/1958,C25445,C25446,C25447,C25448,C25449,C25450,F22901,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1959,2,YAR,BLUTI,1,,0,0,,,,,2,,,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1959,2,YAR,PIEFL,1,6,6,6,,,49,,,,,NE,K54906,,08/06/1959,I,1,C25445,01/06/1959,09/06/1958,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1959,5,YAR,PIEFL,1,7,7,6,,,,,,,,NE,C25411,,20/06/1956,S,3,C25429,01/06/1959,16/05/1958,S,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1959,6,YAR,BLUTI,1,11,,9,,,25,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1959,8,YAR,NUTHA,1,6,4,3,,,36,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1959,11,YAR,PIEFL,1,7,0,0,,,,,,,,ED,,,,,,F22920,,12/06/1958,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1959,12,YAR,GRETI,1,8,5,5,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1959,15,YAR,PIEFL,1,7,7,7,,,41,,,,,NE,K54904,,06/06/1959,I,1,K99701,19/05/1959,19/05/1959,I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1959,19,YAR,BLUTI,1,12,0,0,,,15,,,,,EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1959,20,YAR,GRETI,1,9,,5,,,16,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1959,23,YAR,BLUTI,1,12,0,0,,,16,,,,,XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1959,42,YAR,PIEFL,1,7,7,7,,,43,,,,,NE,K54903,,02/06/1959,I,1,F22907,,09/06/1958,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1959,45,YAR,PIEFL,2,6,6,5,,,72,,,,,NE,C25446,01/06/1959,09/06/1958,R,1,F22920,01/06/1959,12/06/1958,S,1,08/07/1959,K54932,K54933,K54934,K54935,K54936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1959,46,YAR,PIEFL,1,6,5,5,,,44,,,,,NE,C25437,01/06/1959,04/06/1958,S,2,K54902,19/05/1959,19/05/1959,I,1,10/06/1959,K54907,K54908,K54909,K54910,K54911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1960,1,YAR,PIEFL,1,6,,2,,,48,,,,,NE,K54906,01/06/1960,08/06/1959,S,2,C25429,01/06/1960,16/05/1958,S,3,16/06/1960,K99727,K99728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1960,2,YAR,PIEFL,1,7,7,7,,,39,,,,,NE,C25411,01/06/1960,20/06/1956,S,4,K99701,08/06/1960,19/05/1959,S,2,08/06/1960,K99702,K99703,K99704,K99705,K99706,K99707,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1960,7,YAR,PIEFL,1,6,,2,,,52,,,,,NE,K54906,,08/06/1959,S,2,K54938,,,S,1,16/06/1960,K99729,K99730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1960,8,YAR,NUTHA,1,6,6,6,,,25,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1960,10,YAR,GRETI,1,6,,5,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1960,15,YAR,BLUTI,1,12,,10,,,23,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1960,20,YAR,PIEFL,1,6,,2,,,40,,,,,NE,K54906,01/06/1960,08/06/1959,S,2,F22947,16/05/1960,16/05/1960,I,1,08/06/1960,K99716,K99717,K99718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1960,25,YAR,BLUTI,1,,0,0,,,22,,9,,,ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1960,35,YAR,PIEFL,1,8,8,2,,,41,,,,,NE,C25411,,20/06/1956,S,4,F22948,01/06/1960,01/06/1960,I,1,08/06/1960,K99719,K99720,K99721,K99722,K99723,K99724,K99725,K99726,,,,,,,,,,,,,,,,,,,,,,,,,
73,1960,46,YAR,PIEFL,1,8,7,7,,,37,,,,,NE,K54937,,09/07/1959,R,1,F22920,01/06/1960,12/06/1958,S,2,08/06/1960,K99708,K99709,K99711,K99712,K99713,K99714,K99715,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1961,12,YAR,PIEFL,1,8,8,3,,,39,,,,,NE,C25444,01/06/1961,09/06/1958,R,3,K99772,17/05/1961,17/05/1961,I,1,08/06/1961,K99780,K99781,K99782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1961,26,YAR,PIEFL,1,7,7,6,,,34,,,,,NE,K54906,01/06/1961,08/06/1959,S,3,K99701,01/06/1961,19/05/1959,S,3,03/06/1961,K99774,K99775,K99776,K99777,K99778,K99779,,,,,,,,,,,,,,,,,,,,,,,,,,,
