site,trap,year,hab,frass peak day,cater peak day,cater model max,cater actual max,,,,,
YARNER,2,2013,OK,66.7,64.28571429,353.0037116,590,,,,,
YARNER,3,2013,OK,63.6,59.72313777,521.02991,826,,,,,
YARNER,4,2013,OK,67.3,62.6659857,503.0812744,416,,,,,
YARNER,5,2013,OK,65.8,60.07685739,440.996046,417,,,,,
NEADON,1,2013,OK,67.9,64.27022002,5746.695962,19395,,,,,
NEADON,2,2013,OK,70.4,65.93375214,4644.406517,14043,,,,,
NEADON,3,2013,OK,63.4,63.50143632,12095.7506,27695,,,,,
NEADON,4,2013,OK,69.3,64.20694129,5708.760853,11798,,,,,
TRESWELL,1,2013,OK,62.7,62.20951019,708.2080692,647,,,,,
TRESWELL,2,2013,AH,60,59.15303607,141.3793932,113,,,,,
TRESWELL,3,2013,OK,61.9,61.76183769,1150.289819,832,,,,,
TRESWELL,4,2013,AH,67.4,59.86842105,138.5917962,158,,,,,
TRESWELL,5,2013,OK,63.1,62.42228301,504.6009749,374,,,,,
TRESWELL,6,2013,AH,69,,,,,,,,
FAITHWAITE,1,2013,OK,73.8,72.76951673,643.0670982,628,,,,,
FAITHWAITE,2,2013,OK,73,71.61995054,965.1132633,850,,,,,
FAITHWAITE,3,2013,OK,78.1,80.04262957,361.0286284,427,,,,,
FAITHWAITE,4,2013,OK,76.4,76.63664704,600.6110318,369,,,,,
BLACKPOOL,1,2013,OK,67.60027663,66.3084922,155.722174,119,,,,,
BLACKPOOL,2,2013,OK,66.30622837,64.01734104,97.63840928,139,,,,,
BLACKPOOL,3,2013,OK,67.51075012,66.11185087,294.7754995,255,,,,,
DUNSFORD,1,2013,OK,71.7816092,72.03304957,677.2152938,1799,,,,,
DUNSFORD,2,2013,OK,70.35195103,65.82320812,1135.456556,1235,,,,,
DUNSFORD,3,2013,OK,69.14344685,66.30901288,1270.262106,1235,,,,,
DUNSFORD,4,2013,OK,67.03296703,62.44281793,5284.923637,4818,,,,,
DUNSFORD,5,2013,OK,67.75910364,67.02185055,645.6530864,724,,,,,
WHITE WOOD,3,2013,OK,68.64864865,69.55506,313.1548782,516,,,,,
WHITE WOOD,5,2013,OK,67.37588652,70.21575386,260.584878,516,,,,,
BRIDFORD,1,2013,OK,65.26104418,60.9462866,340.8563477,797,,,,,
BRIDFORD,2,2013,OK,65.02923977,60.01958225,1951.213481,1808,,,,,
BRIDFORD,3,2013,OK,68.5548071,65.95777709,245.4954485,705,,,,,
BRIDFORD,4,2013,OK,67.90556335,63.83090871,779.0361931,1763,,,,,
BRIDFORD,5,2013,OK,68.04867987,66.1245434,259.735524,460,,,,,
SPW,1,2014,OK/HO,41.32231405,39.16117784,1193.915869,1621,,,,,
SPW,2,2014,OK/HO,42.78492647,40.38802661,689.427682,992,,,,,
SPW,3,2014,OK/HO,43.26851159,42.45053957,1531.782804,2129,,,,,
SPW,4,2014,OK/HO,43.27804452,42.12827988,691.2264563,1282,,,,,
FAITHWAITE,1,2014,OK,59.1091954,54.39456809,594.6689736,513,,,,,
FAITHWAITE,2,2014,OK,61.73979985,60.39674106,646.3764054,684,,,,,
FAITHWAITE,3,2014,OK,60.80156403,56.52866242,354.8564057,415,,,,,
FAITHWAITE,4,2014,OK,57.6433121,57.05741627,571.2388459,727,,,,,
TRESWELL,1,2014,OK,46.00290698,,,94,,,,,
TRESWELL,3,2014,OK,44.00164339,,,376,,,,,
TRESWELL,5,2014,OK,46.18966977,,,446,,,,,
NAGSHEAD,1,2014,OK,53.0726257,46.23756219,242.631352,296,,,,,
NAGSHEAD,3,2014,OK,48.17170111,45.38461538,220.5564886,507,,,,,
NAGSHEAD,4,2014,OK,48.89855072,46.16562677,233.5372859,253,,,,,
NAGSHEAD,5,2014,OK,50.46121593,42.63774541,600.6219146,422,,,,,
NAGSHEAD,6,2014,OK,48.68095631,43.03355705,660.1198943,507,,,,,
YARNER,112,2014,OK,53.50553506,52.11111111,403.7474039,597,,,,,
YARNER,227,2014,OK,51.64301718,49.04458599,1166.806114,1195,,,,,
YARNER,237,2014,OK,57.87234043,53.9815818,381.3847241,689,,,,,
YARNER,334,2014,OK,58.48888889,51.96115765,313.5409308,489,,,,,
NEADON,1,2014,OK,54.86362539,53.88927019,7947.561765,16579,,,,,
NEADON,3,2014,OK,53.64554122,53.12442902,11785.60079,18041,,,,,
BVW,12,2014,OK,,,,5003,,,,,
BVW,18,2014,OK,52.79148674,52.18772916,8254.257483,10333,,,,,
SPW,1,2015,OK/HO,52.12154696,49.80525803,369.9911782,384,,,,,
SPW,2,2015,OK/HO,56.4171123,51.21999213,277.6742166,648,,,,,
SPW,3,2015,OK/HO,56.16302187,49.80058774,588.9467168,811,,,,,
SPW,4,2015,OK/HO,53.79330944,49.83690112,778.7188754,1203,,,,,
SPW,1,2016,OK/HO,49.55737705,50.71851226,296.2544655,297,,,,,
SPW,2,2016,OK/HO,52.07214121,51.45478962,87.40692845,198,,,,,
