site,trap,year,hab,frass peak day,cater peak day,cater model max,cater actual max,,,,,
NEADON,10,2019,OK,51.5182783,51.12051223,1223.264242,1395,,,,,
NEADON,3,2020,OK,49.41668501,49.40941305,2402.258553,2571,,,,,
NEADON,10,2020,OK,47.99764429,47.23177723,1366.968535,1588,,,,,
NEADON,3,2021,OK,67.62899263,67.42773591,2394.030589,1709,,,,,
NEADON,10,2021,OK,68.02990325,68.23582664,799.7250365,518,,,,,
NAGSHEAD,1,2015,OK,51.88488724,50.74573009,556.8339361,710,,,,,
NAGSHEAD,2,2015,OK,,49.31102362,215.4565472,271,,,,,
NAGSHEAD,3,2015,OK,57.80228758,56.69161677,162.2085025,271,,,,,
NAGSHEAD,4,2015,OK,52.89955126,52.85134351,321.1736134,426,,,,,
NAGSHEAD,5,2015,OK,52.36581921,52.52444004,282.6464227,217,,,,,
NAGSHEAD,6,2015,OK,54.84592445,53.23289391,362.7198906,379,,,,,
NAGSHEAD,1,2016,OK,56.01305549,55.4485808,283.7127575,331,,,,,
NAGSHEAD,2,2016,OK,57.63067531,56.97190427,167.3245306,144,,,,,
NAGSHEAD,3,2016,OK,58.21764442,57.91528239,66.08721927,142,,,,,
NAGSHEAD,4,2016,OK,60.67193676,59.91596639,61.3926374,94.5,,,,,
NAGSHEAD,5,2016,OK,60.71179344,60.40396341,143.7857456,108,,,,,
NAGSHEAD,6,2016,OK,60.96021729,60.52848885,127.3551138,142,,,,,
NAGSHEAD,1,2017,OK,41.82161143,40.55198798,416.7593981,323,,,,,
NAGSHEAD,2,2017,OK,42.9505814,41.90338493,414.9124018,813,,,,,
NAGSHEAD,3,2017,OK,44.48424069,43.67833665,216.9076731,209,,,,,
NAGSHEAD,4,2017,OK,40.67749931,40.13666483,283.7777002,161,,,,,
NAGSHEAD,5,2017,OK,42.35042735,41.85572266,235.9133179,444,,,,,
NAGSHEAD,6,2017,OK,43.9780637,43.4678045,204.1311114,282,,,,,
NAGSHEAD,1,2018,OK,54.73044397,50.24972253,130.570972,135,,,,,
NAGSHEAD,2,2018,OK,51.6489179,49.18681789,220.7778984,471,,,,,
NAGSHEAD,3,2018,OK,43.38624339,44.61165668,196.146585,136,,,,,
NAGSHEAD,4,2018,OK,47.1546864,46.63382594,530.8238393,248,,,,,
NAGSHEAD,5,2018,OK,50.76450307,50.09009009,433.6367522,269,,,,,
NAGSHEAD,6,2018,OK,49.49591935,48.21043553,520.7788979,438,,,,,
NAGSHEAD,1,2019,OK,42.95175024,43.78766806,285.7490764,918,,,,,
NAGSHEAD,2,2019,OK,42.19451372,41.4664118,1038.208232,3273,,,,,
NAGSHEAD,3,2019,OK,43.24667089,41.54466687,334.1558944,290,,,,,
NAGSHEAD,4,2019,OK,41.37529138,40.32446653,549.1372241,676,,,,,
NAGSHEAD,5,2019,OK,40.53970223,40.14794889,442.2740552,628,,,,,
NAGSHEAD,6,2019,OK,42.86094832,41.50866739,370.0978899,408,,,,,
NAGSHEAD,1,2021,OK,63.28396205,61.24615221,413.132598,264,,,,,
NAGSHEAD,2,2021,OK,63.6885769,61.62213539,541.3071156,441,,,,,
NAGSHEAD,3,2021,OK,61.99038462,61.18444524,222.2078648,352,,,,,
NAGSHEAD,4,2021,OK,63.68934348,62.82347505,177.8383309,176,,,,,
NAGSHEAD,5,2021,OK,65.72402044,65.56491967,120.2399742,206,,,,,
NAGSHEAD,6,2021,OK,63.27122517,62.66367377,596.1790046,426,,,,,
SLINDON,1,2018,OK,51.28249567,49.68190386,1617.420198,1832,,,,,
SLINDON,2,2018,OK,50.52380952,49.19014866,2441.453169,2288,,,,,
SLINDON,3,2018,OK,49.14460943,48.20507068,1585.851395,2768,,,,,
SLINDON,4,2018,OK,48.85163068,46.72036824,459.7780893,892,,,,,
SLINDON,5,2018,BE,,43.92103206,178.2599477,206,,,,,
SLINDON,6,2018,BE,43.03267244,42.31360492,267.3571578,229,,,,,
SLINDON,7,2018,BE,50.49295775,50.53247024,321.3956562,686,,,,,
SLINDON,8,2018,BE,43.55847405,,,,,,,,
SLINDON,1,2019,OK,40.70912672,41.84439179,723.1022322,984,,,,,
SLINDON,2,2019,OK,39.49801849,38.40665874,2619.770594,2576,,,,,
SLINDON,3,2019,OK,41.72069825,42.38914626,1924.67839,1541,,,,,
SLINDON,4,2019,OK,33.10055866,32.2077185,203.3759484,309,,,,,
SLINDON,5,2019,BE,46.23499454,40.37629038,245.4364315,426,,,,,
SLINDON,6,2019,BE,39.40155322,38.43622333,335.2247388,525,,,,,
SLINDON,7,2019,BE,40.98534202,43.92865057,118.4470993,361,,,,,
SLINDON,8,2019,BE,40.50719671,40.11741683,205.5146295,197,,,,,
SLINDON,1,2020,OK,29.12541254,29.4043492,1552.170098,1833,,,,,
SLINDON,2,2020,OK,32.74143302,32.3378213,813.8696718,677,,,,,
SLINDON,3,2020,OK,31.57894737,31.31094258,1117.461707,1480,,,,,
SLINDON,5,2020,BE,35.08906972,,,54.2,,,,,
SLINDON,1,2021,OK,59.15068493,54.98960499,551.8468037,1482,,,,,
SLINDON,2,2021,OK,58.53307766,56.23706769,1212.373024,2170,,,,,
SLINDON,3,2021,OK,61.05263158,55.58678848,343.6090152,794,,,,,
SLINDON,4,2021,OK,58.29235583,54.98960499,503.8925736,1508,,,,,
SLINDON,5,2021,BE,61.10218978,61.14996115,135.7133143,132,,,,,
SLINDON,6,2021,BE,59.114415,58.09631545,104.8435474,132,,,,,
SLINDON,7,2021,BE,62.80113368,62.00047858,145.1757681,159,,,,,
SLINDON,8,2021,BE,52.72373541,,,110,,,,,
NEADON,3,2022,OK,55.57921635,52.86126473,789.3918316,626,,,,,
NEADON,10,2022,OK,50.26102088,51.68282176,370.3655766,631,,,,,
YARNER,112,2022,OK,45.98166127,42.92997961,132.0215132,189,,,,,
YARNER,227,2022,OK,50.25100402,48.97435897,212.4809982,407,,,,,
YARNER,242,2022,OK,49.38440492,50.0744879,130.6581362,94.4,,,,,
YARNER,334,2022,OK,47.81518625,,,220,,,,,
SLINDON,1,2022,OK,37.60330579,36.28472222,735.1170127,1127,,,,,
SLINDON,2,2022,OK,36.8226601,35.30052265,846.8697709,1423,,,,,
SLINDON,3,2022,OK,41.12698779,34.34316354,603.3292917,1311,,,,,
SLINDON,4,2022,OK,39.79634248,38.6958387,515.6038282,1072,,,,,
SLINDON,5,2022,BE,42.73789649,43.20058997,87.40659371,66,,,,,
SLINDON,6,2022,BE,40.31680441,40.05598114,227.2859525,203,,,,,
SLINDON,7,2022,BE,39.61038961,40.75,160.4708811,129,,,,,
SLINDON,8,2022,BE,,,,111,,,,,
NAGSHEAD,1,2022,OK,50.2025463,49.25373134,321.5228637,345,,,,,
NAGSHEAD,2,2022,OK,49.37106918,45.15728477,671.1229812,382,,,,,
NAGSHEAD,3,2022,OK,49.87608426,44.88230166,190.6082409,153,,,,,
NAGSHEAD,4,2022,OK,50.9051412,,,203,,,,,
NAGSHEAD,5,2022,OK,48.87990044,42.68149257,519.2779128,261,,,,,
NAGSHEAD,6,2022,OK,48.4565394,47.01611299,364.2331199,359,,,,,
SPW,1,2022,OK/HO,39.59308606,38.249694,12413.87738,23836,,,,,
SPW,2,2022,OK/HO,37.81038375,36.13967438,13450.58028,28925,,,,,
SPW,3,2022,OK/HO,39.03462749,37.66310795,20415.82009,42455,,,,,
SPW,4,2022,OK/HO,37.04278813,35.44180615,30474.50877,48740,,,,,
TRESWELL,1,2022,OK,,,,,,,,,
TRESWELL,3,2022,OK,,,,,,,,,
TRESWELL,5,2022,OK,,,,,,,,,
TRESWELL,2,2022,AH,,,,,,,,,
TRESWELL,4,2022,AH,,,,,,,,,
TRESWELL,6,2022,AH,,,,,,,,,
FAITHWAITE,1,2022,OK,50.09765625,50.13513514,303.5595198,271,,,,,
FAITHWAITE,2,2022,OK,52.97787862,55.10238335,335.1336213,901,,,,,
FAITHWAITE,3,2022,OK,48.49899933,50.0906454,317.8412744,615,,,,,
FAITHWAITE,4,2022,OK,51.8533123,52.7340824,693.0521462,540,,,,,
FAITHWAITE,1,2022,BI,47.91792396,47.39233505,664.566105,504,,,,,
FAITHWAITE,2,2022,BI,45.01044932,43.64660971,275.9355375,721,,,,,
FAITHWAITE,1,2022,ALD,,,,,,,,,
FAITHWAITE,2,2022,ALD,48.13631523,,,,,,,,
TROUGHBARROW,1,2022,OK,,58.58328015,44.16681749,51.7,,,,,
TROUGHBARROW,2,2022,OK,48.25769854,54.82703138,74.44242933,82.1,,,,,
TROUGHBARROW,3,2022,OK,39.13922588,47.67164179,123.6599393,186,,,,,
TROUGHBARROW,1,2022,AH,,,,22,,,,,
TROUGHBARROW,2,2022,AH,44.4982613,44.46484201,57.33208719,61.7,,,,,
TROUGHBARROW,1,2022,SYC,,,,138,,,,,
TROUGHBARROW,2,2022,SYC,47.60237069,47.79706275,44.75498957,46.3,,,,,
MIDDLEWOOD,1,2022,OK,49.68553459,48.12877264,495.6464037,563,,,,,
MIDDLEWOOD,2,2022,OK,52.38738739,51.53313551,547.8662875,481,,,,,
MIDDLEWOOD,3,2022,OK,52.11827008,53.23846909,270.1723154,405,,,,,
MIDDLEWOOD,4,2022,OK,48.74857793,49.95429616,619.2541487,765,,,,,
NEADON,3,2023,OK,55.33104041,55.06883605,3602.286837,1615,,,,,
NEADON,10,2023,OK,56.6470203,56.62768031,1222.397289,703,,,,,
YARNER,112,2023,OK,53.48140314,53.52921865,331.8821026,273,,,,,
YARNER,227,2023,OK,54.33199584,54.14230019,504.6725707,477,,,,,
YARNER,242,2023,OK,53.7118223,52.63951735,523.9944781,443,,,,,
YARNER,334,2023,OK,53.72200772,53.70574667,557.6228737,352,,,,,
SLINDON,1,2023,OK,50.82035306,45.19725557,2108.639793,3146,,,,,
SLINDON,2,2023,OK,52.74812179,49.40828402,983.2612492,2031,,,,,
SLINDON,3,2023,OK,49.36421435,47.41100324,1651.78208,2430,,,,,
SLINDON,4,2023,OK,49.65243297,47.51648352,1682.310284,2863,,,,,
SLINDON,5,2023,BE,55.24515393,54.02215098,170.0194891,183,,,,,
SLINDON,6,2023,BE,50.80385852,51.24050633,118.2357492,233,,,,,
SLINDON,7,2023,BE,52.09424084,52.10231254,209.8027639,266,,,,,
SLINDON,8,2023,BE,48.98316971,48.34424336,146.6172476,233,,,,,
NAGSHEAD,1,2023,OK,57.084213,57.0500547,507.4457132,305,,,,,
NAGSHEAD,2,2023,OK,59.80798193,58.69256277,399.1108601,617,,,,,
NAGSHEAD,3,2023,OK,58.59302684,57.92087542,411.8493115,472,,,,,
NAGSHEAD,4,2023,OK,56.71468999,56.28053036,527.3080389,558,,,,,
NAGSHEAD,5,2023,OK,57.5017325,56.70535139,223.3915397,529,,,,,
NAGSHEAD,6,2023,OK,60.43138713,59.93333333,458.1726142,382,,,,,
SPW,1,2023,OK/HO,49.69560614,48.91190351,19350.73885,45756,,,,,
SPW,2,2023,OK/HO,50.57018735,49.41921859,13602.90639,25070,,,,,
SPW,3,2023,OK/HO,50.9487666,50.6465884,25703.98154,35980,,,,,
SPW,4,2023,OK/HO,49.73793405,48.95877603,19155.29761,32254,,,,,
TRESWELL,1,2023,OK,59.65133906,58.34976063,362.4048388,233,,,,,
TRESWELL,5,2023,OK,56.34955752,56.24681285,221.518898,164,,,,,
TRESWELL,2,2023,AH,57.83929446,57.30281164,349.9276084,188,,,,,
TRESWELL,6,2023,AH,55.85729499,55.92180365,124.8880929,145,,,,,
FAITHWAITE,1,2023,OK,51.85321101,50.04911591,1688.029152,3982,,,,,
FAITHWAITE,2,2023,OK,53.83536015,53.44214968,3033.470541,5574,,,,,
FAITHWAITE,3,2023,OK,54.27942102,53.76620474,2975.475879,2777,,,,,
FAITHWAITE,4,2023,OK,51.30813953,49.45337621,1567.970362,2913,,,,,
FAITHWAITE,1,2023,BI,51.50958257,51.19394823,2594.079028,4059,,,,,
FAITHWAITE,2,2023,BI,55.07011866,55.70836473,1619.408014,1088,,,,,
FAITHWAITE,1,2023,ALD,54.21816228,,,,,,,,
FAITHWAITE,2,2023,ALD,56.03963084,,,,,,,,
TROUGHBARROW,1,2023,OK,51.75666884,50.61670933,616.592803,625,,,,,
TROUGHBARROW,2,2023,OK,51.87476565,51.3844024,560.0380641,488,,,,,
TROUGHBARROW,3,2023,OK,51.51166139,51.22187742,1563.53569,1405,,,,,
TROUGHBARROW,1,2023,AH,57.15890851,52.6734104,62.78716807,58.5,,,,,
TROUGHBARROW,2,2023,AH,57.24226804,56.52585973,205.6711235,156,,,,,
TROUGHBARROW,1,2023,SYC,53.7995338,55.02529899,142.0311501,157,,,,,
TROUGHBARROW,2,2023,SYC,55.24369017,54.69820915,144.5137953,110,,,,,
MIDDLEWOOD,1,2023,OK,52.3546606,50.69836553,4169.388518,6527,,,,,
MIDDLEWOOD,2,2023,OK,50.87099217,49.1827957,5819.341358,6635,,,,,
MIDDLEWOOD,3,2023,OK,51.41879909,50.13847219,6416.583511,13355,,,,,
MIDDLEWOOD,4,2023,OK,50.81247255,49.38341871,9885.842332,20463,,,,,
NEADON,2,2012,OK,61.6,62.75050828,1131.918003,3411,,,,,
NEADON,3,2012,OK,57.5,53.59673025,1389.774427,10771,,,,,
NEADON,4,2012,OK,60.3,60.75026051,1903.419519,4727,,,,,
